2025-11-08 10:59:13,826 - INFO - 使用设备: cpu
2025-11-08 10:59:13,826 - INFO - 实验配置: d_model=128, batch_size=32, epochs=5, block_size=64, seed=42, ablate_pe=False, ablate_multihead=False, ablate_ffn=True
2025-11-08 10:59:13,827 - INFO - 加载数据集...
2025-11-08 10:59:13,954 - INFO - 训练批次: 1,042, 验证批次: 121, 词汇表大小: 65
2025-11-08 10:59:13,955 - INFO - 初始化模型...
2025-11-08 10:59:13,963 - INFO - 
============================================================
2025-11-08 10:59:13,964 - INFO - Epoch 1/5
2025-11-08 10:59:13,964 - INFO - ============================================================
2025-11-08 10:59:13,965 - INFO - Epoch 1/5: 开始训练 (1,042 批次)
2025-11-08 10:59:14,916 - INFO - 进度:   1.0% | 批次: 10/1,042 | 损失: 4.3300 | LR: 2.96e-09 | 速度: 0.094s/batch | ETA: 1.6min
2025-11-08 10:59:15,916 - INFO - 进度:   1.9% | 批次: 20/1,042 | 损失: 4.3388 | LR: 5.93e-09 | 速度: 0.100s/batch | ETA: 1.7min
2025-11-08 10:59:17,278 - INFO - 进度:   2.9% | 批次: 30/1,042 | 损失: 4.3363 | LR: 8.89e-09 | 速度: 0.136s/batch | ETA: 1.9min
2025-11-08 10:59:19,912 - INFO - 进度:   3.8% | 批次: 40/1,042 | 损失: 4.3354 | LR: 1.19e-08 | 速度: 0.262s/batch | ETA: 2.5min
2025-11-08 10:59:21,474 - INFO - 进度:   4.8% | 批次: 50/1,042 | 损失: 4.3341 | LR: 1.48e-08 | 速度: 0.156s/batch | ETA: 2.5min
2025-11-08 10:59:22,728 - INFO - 进度:   5.8% | 批次: 60/1,042 | 损失: 4.3336 | LR: 1.78e-08 | 速度: 0.125s/batch | ETA: 2.4min
2025-11-08 10:59:23,722 - INFO - 进度:   6.7% | 批次: 70/1,042 | 损失: 4.3346 | LR: 2.08e-08 | 速度: 0.099s/batch | ETA: 2.3min
2025-11-08 10:59:24,665 - INFO - 进度:   7.7% | 批次: 80/1,042 | 损失: 4.3341 | LR: 2.37e-08 | 速度: 0.094s/batch | ETA: 2.1min
2025-11-08 10:59:25,692 - INFO - 进度:   8.6% | 批次: 90/1,042 | 损失: 4.3332 | LR: 2.67e-08 | 速度: 0.102s/batch | ETA: 2.1min
2025-11-08 10:59:26,545 - INFO - 进度:   9.6% | 批次: 100/1,042 | 损失: 4.3323 | LR: 2.96e-08 | 速度: 0.085s/batch | ETA: 2.0min
2025-11-08 10:59:27,561 - INFO - 进度:  10.6% | 批次: 110/1,042 | 损失: 4.3337 | LR: 3.26e-08 | 速度: 0.101s/batch | ETA: 1.9min
2025-11-08 10:59:30,356 - INFO - 进度:  11.5% | 批次: 120/1,042 | 损失: 4.3338 | LR: 3.56e-08 | 速度: 0.279s/batch | ETA: 2.1min
2025-11-08 10:59:31,683 - INFO - 进度:  12.5% | 批次: 130/1,042 | 损失: 4.3344 | LR: 3.85e-08 | 速度: 0.132s/batch | ETA: 2.1min
2025-11-08 10:59:32,915 - INFO - 进度:  13.4% | 批次: 140/1,042 | 损失: 4.3335 | LR: 4.15e-08 | 速度: 0.123s/batch | ETA: 2.0min
2025-11-08 10:59:33,860 - INFO - 进度:  14.4% | 批次: 150/1,042 | 损失: 4.3330 | LR: 4.45e-08 | 速度: 0.094s/batch | ETA: 2.0min
2025-11-08 10:59:34,755 - INFO - 进度:  15.4% | 批次: 160/1,042 | 损失: 4.3331 | LR: 4.74e-08 | 速度: 0.089s/batch | ETA: 1.9min
2025-11-08 10:59:35,606 - INFO - 进度:  16.3% | 批次: 170/1,042 | 损失: 4.3324 | LR: 5.04e-08 | 速度: 0.085s/batch | ETA: 1.9min
2025-11-08 10:59:36,471 - INFO - 进度:  17.3% | 批次: 180/1,042 | 损失: 4.3325 | LR: 5.34e-08 | 速度: 0.086s/batch | ETA: 1.8min
2025-11-08 10:59:37,329 - INFO - 进度:  18.2% | 批次: 190/1,042 | 损失: 4.3324 | LR: 5.63e-08 | 速度: 0.086s/batch | ETA: 1.7min
2025-11-08 10:59:38,129 - INFO - 进度:  19.2% | 批次: 200/1,042 | 损失: 4.3327 | LR: 5.93e-08 | 速度: 0.080s/batch | ETA: 1.7min
2025-11-08 10:59:38,888 - INFO - 进度:  20.2% | 批次: 210/1,042 | 损失: 4.3334 | LR: 6.23e-08 | 速度: 0.075s/batch | ETA: 1.6min
2025-11-08 10:59:39,714 - INFO - 进度:  21.1% | 批次: 220/1,042 | 损失: 4.3333 | LR: 6.52e-08 | 速度: 0.082s/batch | ETA: 1.6min
2025-11-08 10:59:40,475 - INFO - 进度:  22.1% | 批次: 230/1,042 | 损失: 4.3330 | LR: 6.82e-08 | 速度: 0.076s/batch | ETA: 1.6min
2025-11-08 10:59:41,556 - INFO - 进度:  23.0% | 批次: 240/1,042 | 损失: 4.3330 | LR: 7.12e-08 | 速度: 0.108s/batch | ETA: 1.5min
2025-11-08 10:59:42,629 - INFO - 进度:  24.0% | 批次: 250/1,042 | 损失: 4.3328 | LR: 7.41e-08 | 速度: 0.107s/batch | ETA: 1.5min
2025-11-08 10:59:43,733 - INFO - 进度:  25.0% | 批次: 260/1,042 | 损失: 4.3328 | LR: 7.71e-08 | 速度: 0.109s/batch | ETA: 1.5min
2025-11-08 10:59:44,735 - INFO - 进度:  25.9% | 批次: 270/1,042 | 损失: 4.3331 | LR: 8.00e-08 | 速度: 0.100s/batch | ETA: 1.5min
2025-11-08 10:59:45,786 - INFO - 进度:  26.9% | 批次: 280/1,042 | 损失: 4.3330 | LR: 8.30e-08 | 速度: 0.104s/batch | ETA: 1.4min
2025-11-08 10:59:46,916 - INFO - 进度:  27.8% | 批次: 290/1,042 | 损失: 4.3326 | LR: 8.60e-08 | 速度: 0.112s/batch | ETA: 1.4min
2025-11-08 10:59:48,106 - INFO - 进度:  28.8% | 批次: 300/1,042 | 损失: 4.3329 | LR: 8.89e-08 | 速度: 0.118s/batch | ETA: 1.4min
2025-11-08 10:59:49,375 - INFO - 进度:  29.8% | 批次: 310/1,042 | 损失: 4.3326 | LR: 9.19e-08 | 速度: 0.126s/batch | ETA: 1.4min
2025-11-08 10:59:50,535 - INFO - 进度:  30.7% | 批次: 320/1,042 | 损失: 4.3327 | LR: 9.49e-08 | 速度: 0.115s/batch | ETA: 1.4min
2025-11-08 10:59:51,508 - INFO - 进度:  31.7% | 批次: 330/1,042 | 损失: 4.3325 | LR: 9.78e-08 | 速度: 0.097s/batch | ETA: 1.3min
2025-11-08 10:59:52,512 - INFO - 进度:  32.6% | 批次: 340/1,042 | 损失: 4.3325 | LR: 1.01e-07 | 速度: 0.100s/batch | ETA: 1.3min
2025-11-08 10:59:53,551 - INFO - 进度:  33.6% | 批次: 350/1,042 | 损失: 4.3323 | LR: 1.04e-07 | 速度: 0.103s/batch | ETA: 1.3min
2025-11-08 10:59:54,905 - INFO - 进度:  34.5% | 批次: 360/1,042 | 损失: 4.3319 | LR: 1.07e-07 | 速度: 0.135s/batch | ETA: 1.3min
2025-11-08 10:59:56,157 - INFO - 进度:  35.5% | 批次: 370/1,042 | 损失: 4.3319 | LR: 1.10e-07 | 速度: 0.125s/batch | ETA: 1.3min
2025-11-08 10:59:57,413 - INFO - 进度:  36.5% | 批次: 380/1,042 | 损失: 4.3318 | LR: 1.13e-07 | 速度: 0.125s/batch | ETA: 1.3min
2025-11-08 10:59:58,725 - INFO - 进度:  37.4% | 批次: 390/1,042 | 损失: 4.3316 | LR: 1.16e-07 | 速度: 0.131s/batch | ETA: 1.2min
2025-11-08 10:59:59,887 - INFO - 进度:  38.4% | 批次: 400/1,042 | 损失: 4.3318 | LR: 1.19e-07 | 速度: 0.116s/batch | ETA: 1.2min
2025-11-08 11:00:01,191 - INFO - 进度:  39.3% | 批次: 410/1,042 | 损失: 4.3317 | LR: 1.22e-07 | 速度: 0.130s/batch | ETA: 1.2min
2025-11-08 11:00:02,340 - INFO - 进度:  40.3% | 批次: 420/1,042 | 损失: 4.3315 | LR: 1.25e-07 | 速度: 0.114s/batch | ETA: 1.2min
2025-11-08 11:00:03,404 - INFO - 进度:  41.3% | 批次: 430/1,042 | 损失: 4.3313 | LR: 1.27e-07 | 速度: 0.106s/batch | ETA: 1.2min
2025-11-08 11:00:04,545 - INFO - 进度:  42.2% | 批次: 440/1,042 | 损失: 4.3313 | LR: 1.30e-07 | 速度: 0.113s/batch | ETA: 1.2min
2025-11-08 11:00:05,799 - INFO - 进度:  43.2% | 批次: 450/1,042 | 损失: 4.3309 | LR: 1.33e-07 | 速度: 0.125s/batch | ETA: 1.1min
2025-11-08 11:00:07,504 - INFO - 进度:  44.1% | 批次: 460/1,042 | 损失: 4.3309 | LR: 1.36e-07 | 速度: 0.170s/batch | ETA: 1.1min
2025-11-08 11:00:08,577 - INFO - 进度:  45.1% | 批次: 470/1,042 | 损失: 4.3308 | LR: 1.39e-07 | 速度: 0.107s/batch | ETA: 1.1min
2025-11-08 11:00:09,469 - INFO - 进度:  46.1% | 批次: 480/1,042 | 损失: 4.3308 | LR: 1.42e-07 | 速度: 0.089s/batch | ETA: 1.1min
