2025-11-08 10:45:25,700 - INFO - 使用设备: cpu
2025-11-08 10:45:25,701 - INFO - 实验配置: d_model=128, batch_size=32, epochs=5, block_size=64, seed=42, ablate_pe=False, ablate_multihead=True
2025-11-08 10:45:25,701 - INFO - 加载数据集...
2025-11-08 10:45:25,828 - INFO - 训练批次: 1,042, 验证批次: 121, 词汇表大小: 65
2025-11-08 10:45:25,828 - INFO - 初始化模型...
2025-11-08 10:45:25,842 - INFO - 
============================================================
2025-11-08 10:45:25,842 - INFO - Epoch 1/5
2025-11-08 10:45:25,842 - INFO - ============================================================
2025-11-08 10:45:25,843 - INFO - Epoch 1/5: 开始训练 (1,042 批次)
2025-11-08 10:45:26,619 - INFO - 进度:   1.0% | 批次: 10/1,042 | 损失: 4.4110 | LR: 2.96e-09 | 速度: 0.077s/batch | ETA: 1.3min
2025-11-08 10:45:27,375 - INFO - 进度:   1.9% | 批次: 20/1,042 | 损失: 4.4098 | LR: 5.93e-09 | 速度: 0.075s/batch | ETA: 1.3min
2025-11-08 10:45:28,414 - INFO - 进度:   2.9% | 批次: 30/1,042 | 损失: 4.4080 | LR: 8.89e-09 | 速度: 0.104s/batch | ETA: 1.4min
2025-11-08 10:45:29,601 - INFO - 进度:   3.8% | 批次: 40/1,042 | 损失: 4.4082 | LR: 1.19e-08 | 速度: 0.118s/batch | ETA: 1.6min
2025-11-08 10:45:30,996 - INFO - 进度:   4.8% | 批次: 50/1,042 | 损失: 4.4099 | LR: 1.48e-08 | 速度: 0.139s/batch | ETA: 1.7min
2025-11-08 10:45:33,949 - INFO - 进度:   5.8% | 批次: 60/1,042 | 损失: 4.4087 | LR: 1.78e-08 | 速度: 0.295s/batch | ETA: 2.2min
2025-11-08 10:45:35,267 - INFO - 进度:   6.7% | 批次: 70/1,042 | 损失: 4.4087 | LR: 2.08e-08 | 速度: 0.131s/batch | ETA: 2.2min
2025-11-08 10:45:36,490 - INFO - 进度:   7.7% | 批次: 80/1,042 | 损失: 4.4078 | LR: 2.37e-08 | 速度: 0.122s/batch | ETA: 2.1min
2025-11-08 10:45:37,453 - INFO - 进度:   8.6% | 批次: 90/1,042 | 损失: 4.4081 | LR: 2.67e-08 | 速度: 0.096s/batch | ETA: 2.0min
2025-11-08 10:45:38,330 - INFO - 进度:   9.6% | 批次: 100/1,042 | 损失: 4.4087 | LR: 2.96e-08 | 速度: 0.087s/batch | ETA: 2.0min
2025-11-08 10:45:39,281 - INFO - 进度:  10.6% | 批次: 110/1,042 | 损失: 4.4084 | LR: 3.26e-08 | 速度: 0.095s/batch | ETA: 1.9min
